ItemID|label
0|1
1|1
2|1
3|1
4|1
5|0
6|1
7|1
8|0
9|1
10|1
11|1
12|0
13|2
14|2
15|2
16|2
17|1
18|1
19|2
20|1
21|2
22|0
23|0
24|2
25|2
26|1
27|1
28|2
29|1
30|1
31|0
32|0
33|1
34|0
35|1
36|0
37|0
38|0
39|1
40|0
41|2
42|1
43|2
44|0
45|1
46|1
47|0
48|0
49|0
50|2
51|2
52|1
53|2
54|1
55|1
56|1
57|2
58|0
59|1
60|0
61|1
62|0
63|0
64|1
65|1
66|0
67|0
68|0
69|1
70|1
71|2
72|1
73|2
74|1
75|1
76|1
77|1
78|1
79|0
80|0
81|1
82|0
83|0
84|1
85|1
86|2
87|2
88|2
89|2
90|1
91|1
92|1
93|1
94|1
95|1
96|1
97|1
98|1
99|1
100|2
101|1
102|2
103|2
104|0
105|0
106|0
107|0
108|1
109|1
110|2
111|2
112|2
113|2
114|1
115|0
116|1
117|2
118|0
119|2
120|2
121|2
122|2
123|2
124|2
125|1
126|1
127|1
128|1
129|1
130|2
131|2
132|0
133|1
134|1
135|1
136|1
137|2
138|1
139|1
140|1
141|2
142|2
143|2
144|2
145|2
146|2
147|2
148|2
149|0
150|0
151|0
152|0
153|2
154|2
155|0
156|0
157|0
158|0
159|0
160|0
161|1
162|1
163|1
164|2
165|2
166|2
167|2
168|1
169|1
170|2
171|2
172|2
173|2
174|2
175|2
176|2
177|2
178|2
179|2
180|2
181|2
182|2
183|2
184|1
185|1
186|1
187|1
188|1
189|1
190|1
191|1
192|1
193|2
194|1
195|1
196|0
197|1
198|0
199|2
200|2
201|2
202|2
203|2
204|1
205|0
206|0
207|0
208|1
209|2
210|1
211|1
212|0
213|0
214|1
215|1
216|0
217|0
218|1
219|0
220|0
221|0
222|0
223|1
224|0
225|1
226|2
227|2
228|2
229|2
230|2
231|2
232|2
233|2
234|2
235|2
236|1
237|2
238|1
239|0
240|0
241|0
242|1
243|0
244|1
245|1
246|0
247|0
248|0
249|1
250|1
251|1
252|1
253|1
254|1
255|1
256|1
257|0
258|1
259|0
260|1
261|1
262|1
263|1
264|0
265|2
266|2
267|2
268|2
269|2
270|2
271|1
272|0
273|2
274|1
275|1
276|1
277|2
278|2
279|2
280|2
281|1
282|1
283|2
284|2
285|2
286|2
287|1
288|2
289|2
290|2
291|1
292|2
293|2
294|2
295|0
296|1
297|2
298|1
299|1
300|1
301|1
302|0
303|2
304|2
305|1
306|1
307|1
308|1
309|1
310|1
311|2
312|1
313|1
314|1
315|1
316|0
317|0
318|2
319|0
320|0
321|1
322|1
323|1
324|1
325|1
326|1
327|2
328|1
329|0
330|0
331|0
332|1
333|1
334|2
335|2
336|2
337|2
338|1
339|1
340|1
341|0
342|0
343|2
344|1
345|1
346|1
347|2
348|0
349|1
350|1
351|1
352|1
353|1
354|0
355|1
356|1
357|1
358|1
359|1
360|2
361|1
362|2
363|1
364|1
365|2
366|1
367|1
368|0
369|1
370|1
371|1
372|2
373|2
374|1
375|1
376|1
377|2
378|1
379|1
380|0
381|2
382|1
383|2
384|1
385|0
386|0
387|2
388|2
389|2
390|2
391|1
392|2
393|2
394|2
395|1
396|0
397|2
398|2
399|1
400|1
401|1
402|1
403|1
404|0
405|0
406|0
407|1
408|1
409|1
410|2
411|1
412|1
413|2
414|1
415|1
416|1
417|1
418|1
419|1
420|1
421|1
422|1
423|1
424|1
425|1
426|0
427|1
428|1
429|2
430|1
431|2
432|1
433|2
434|2
435|1
436|1
437|0
438|0
439|1
440|2
441|2
442|2
443|0
444|0
445|0
446|1
447|2
448|1
449|1
450|1
451|2
452|2
453|2
454|2
455|2
456|2
457|1
458|0
459|2
460|1
461|1
462|1
463|2
464|2
465|1
466|1
467|1
468|1
469|1
470|0
471|1
472|1
473|1
474|2
475|1
476|1
477|1
478|1
479|1
480|1
481|0
482|1
483|1
484|2
485|0
486|2
487|2
488|1
489|1
490|1
491|1
492|1
493|1
494|1
495|1
496|1
497|0
498|2
499|2
500|2
501|1
502|2
503|1
504|1
505|2
506|1
507|1
508|2
509|1
510|0
511|1
512|1
513|1
514|1
515|1
516|1
517|1
518|2
519|1
520|1
521|1
522|1
523|1
524|1
525|1
526|2
527|1
528|1
529|1
530|1
531|0
532|0
533|0
534|0
535|1
536|1
537|0
538|2
539|1
540|0
541|0
542|0
543|1
544|0
545|1
546|1
547|1
548|0
549|1
550|0
551|1
552|2
553|2
554|0
555|1
556|1
557|2
558|0
559|0
560|1
561|1
562|1
563|1
564|1
565|1
566|2
567|2
568|1
569|1
570|1
571|1
572|1
573|1
574|2
575|1
576|1
577|0
578|1
579|1
580|1
581|1
582|1
583|1
584|0
585|0
586|1
587|1
588|1
589|0
590|1
591|1
592|2
593|2
594|1
595|2
596|1
597|2
598|2
599|1
600|0
601|1
602|0
603|1
604|0
605|1
606|1
607|1
608|0
609|0
610|0
611|0
612|1
613|0
614|1
615|0
616|1
617|1
618|1
619|1
620|1
621|1
622|1
623|1
624|1
625|2
626|1
627|1
628|1
629|1
630|2
631|2
632|2
633|2
634|2
635|1
636|1
637|1
638|1
639|0
640|1
641|1
642|1
643|1
644|0
645|2
646|2
647|2
648|1
649|1
650|1
651|0
652|1
653|2
654|1
655|0
656|1
657|1
658|1
659|0
660|1
661|1
662|0
663|1
664|1
665|1
666|1
667|2
668|1
669|1
670|1
671|0
672|0
673|0
674|2
675|1
676|1
677|1
678|0
679|1
680|1
681|1
682|1
683|1
684|2
685|2
686|0
687|1
688|1
689|0
690|2
691|1
692|1
693|1
694|2
695|2
696|1
697|2
698|1
699|2
700|1
701|1
702|2
703|1
704|2
705|1
706|2
707|2
708|2
709|1
710|1
711|2
712|1
713|1
714|1
715|1
716|1
717|1
718|1
719|1
720|2
721|2
722|1
723|2
724|2
725|2
726|0
727|1
728|2
729|1
730|1
731|0
732|1
733|0
734|1
735|1
736|1
737|0
738|1
739|1
740|0
741|2
742|2
743|0
744|0
745|1
746|1
747|1
748|1
749|0
750|2
751|2
752|2
753|1
754|1
755|1
756|0
757|1
758|0
759|0
760|1
761|2
762|1
763|2
764|2
765|2
766|2
767|2
768|2
769|2
770|1
771|1
772|1
773|2
774|1
775|1
776|2
777|1
778|2
779|2
780|2
781|2
782|2
783|2
784|1
785|1
786|1
787|2
788|2
789|0
790|0
791|1
792|1
793|1
794|1
795|1
796|1
797|1
798|2
799|2
800|0
801|0
802|1
803|1
804|1
805|0
806|2
807|1
808|0
809|0
810|1
811|1
